time,expolited_project,logic_addr,storage_addr,func_sign,platform,block_number
2020/2/15,bZx,0x2157a7894439191e520825fe9399ab8655e0f708,0x4d2f5cfba55ae412221182d8475bc85799a5644b,0x95e3c50b,ETH,9484688
2020/9/29,Eminence,0x5ade7ae8660293f2ebfcefaba91d141d72d221e8,0x5ade7ae8660293f2ebfcefaba91d141d72d221e8,0xd79875eb,ETH,10954411
2020/10/26,Harvest,0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,0xf0358e8c3cd5fa238a29301d0bea3d63a17bedbe,0xb6b55f25,ETH,11129474
2020/11/6,Cheese Bank,0x5e181bdde2fa8af7265cb3124735e9a13779c021,0x5e181bdde2fa8af7265cb3124735e9a13779c021,0xc5ebeaec,ETH,11205648
2020/11/14,Value.DeFi,0x55bf8304c78ba6fe47fd251f37d7beb485f86d26,0x55bf8304c78ba6fe47fd251f37d7beb485f86d26,0x39bb96a8,ETH,11256673
2020/12/17,Warp Finance,0xba539b9a5c2d412cb10e5770435f362094f9541c,0xba539b9a5c2d412cb10e5770435f362094f9541c,0xa555989,ETH,11473330
2021/5/19,PancakeBunny,0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b,0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b,0x3d18b912,BSC,7556391
2021/5/25,AutoShark Finance,0xa007d347f2e55d731e101aae64722c321b2b80dc,0xa007d347f2e55d731e101aae64722c321b2b80dc,0x3d18b912,BSC,7698696
2021/5/29,Belt Finance,0x9171bf7c050ac8b4cf7835e51f7b4841dfb2ccd0,0x9171bf7c050ac8b4cf7835e51f7b4841dfb2ccd0,0x441a3e70,BSC,7838862
2021/7/14,ApeRocket,0x274b5b7868c848ac690dc9b4011e9e7e29133700,0x274b5b7868c848ac690dc9b4011e9e7e29133700,0x3d18b912,BSC,9139708
2021/7/16,Pancake Bunny,0xdf0be663c84322f55ad7b40a4120cdecba4c4b45,0xdf0be663c84322f55ad7b40a4120cdecba4c4b45,0x853828b6,Polygon,16933434
2021/7/20,Sanshu Inu,0x35c674c288577df3e9b5dafef945795b741c7810,0x35c674c288577df3e9b5dafef945795b741c7810,0x441a3e70,ETH,12865339
2021/8/25,Dot.Finance,0xe84ceea58b351e6277418e0f302b9fb678fc54ab,0xe84ceea58b351e6277418e0f302b9fb678fc54ab,0x3d18b912,BSC,10332961
2021/10/20,Pancake Hunny,0x27d4ca4bb855e435959295ec273fa16fe8caea14,0xef43313e8218f25fe63d5ae76d98182d7a4797cc,0x3d18b912,BSC,11932682
2021/10/27,Cream Finance,0x3d5bc3c8d13dcb8bf317092d84783c2697ae9258,0x3d5bc3c8d13dcb8bf317092d84783c2697ae9258,0xda3d454c,ETH,13499798
2022/3/21,OneRing,0xc06826f52f29b34c5d8b2c61abf844cebcf78abf,0x4e332d616b5ba1edfd87c899e534d996c336a2fc,0xf714ce,Fantom,34041500
2022/4/24,Wiener DOGE,0xb3e708a6d1221ed7c58b88622fdbee2c03e4db4d,0xb3e708a6d1221ed7c58b88622fdbee2c03e4db4d,0x22c0d9f,BSC,17248706
2022/6/7,Equalizer Finance,0x3befd5085a3e3c59a92be6a1ff192ea785beac5d,0x3befd5085a3e3c59a92be6a1ff192ea785beac5d,0x9c8f9f23,Polygon,29272944
2022/8/5,ANCH Project,0x0aef5a75f5e71a62337ed069eb3454bf23bdcbc5,0x0aef5a75f5e71a62337ed069eb3454bf23bdcbc5,0xb6b55f25,BSC,20164013
2022/8/8,EGD Finance,0x34bd6dba456bc31c2b3393e499fa10bed32a9370,0x34bd6dba456bc31c2b3393e499fa10bed32a9370,0x8a623d86,BSC,20245540
2022/8/31,Cupid,0x40c994299fb4449ddf471d0634738ea79c734919,0x40c994299fb4449ddf471d0634738ea79c734919,0xe98bfe1e,BSC,20916740
2023/1/3,GDS Chain,0xc1bb12560468fb255a8e8431bdf883cc4cb3d278,0xc1bb12560468fb255a8e8431bdf883cc4cb3d278,0xa9059cbb,BSC,24451036
2023/1/17,Upswing Finance,0xa3f47dcfc09d9aadb7ac6ecab257cf7283bfee26,0xa3f47dcfc09d9aadb7ac6ecab257cf7283bfee26,0x22c0d9f,ETH,16428370